epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,452.325,1.03343,0.66606,1.05215,0.82546,0.88677,0.87526,0.43446,1.64078,0.99009,1.38702,0.0013169,0.0013169,0.0013169
71,460.188,1.11508,0.67143,1.07037,0.81329,0.8125,0.86605,0.39227,1.70755,0.95982,1.42101,0.001307,0.001307,0.001307
72,465.264,0.99817,0.6321,1.03907,0.78118,0.83676,0.77134,0.40138,1.65985,1.02225,1.38951,0.0012971,0.0012971,0.0012971
73,470.947,0.99068,0.66288,1.05759,0.81483,0.82514,0.83921,0.41045,1.67258,0.99966,1.38294,0.0012872,0.0012872,0.0012872
74,479.461,0.9943,0.60631,1.00963,0.90765,0.76788,0.88848,0.47023,1.62044,0.86055,1.41736,0.0012773,0.0012773,0.0012773
75,484.479,0.99613,0.60902,1.03637,0.86299,0.82812,0.88456,0.46031,1.64204,0.83118,1.46089,0.0012674,0.0012674,0.0012674
76,489.726,1.00765,0.6397,1.01257,0.87151,0.8125,0.89806,0.44338,1.65465,0.8281,1.42963,0.0012575,0.0012575,0.0012575
77,497.838,1.00087,0.63485,1.01747,0.85215,0.8125,0.88369,0.47999,1.62326,0.8597,1.44838,0.0012476,0.0012476,0.0012476
78,503.018,1.01447,0.64474,1.03239,0.9073,0.76466,0.83475,0.43334,1.66623,0.98726,1.36498,0.0012377,0.0012377,0.0012377
79,508.33,1.00436,0.61866,1.01394,0.95381,0.71875,0.89282,0.47337,1.63412,0.99714,1.36353,0.0012278,0.0012278,0.0012278
80,516.612,0.98436,0.63797,1.04051,0.93784,0.76562,0.90334,0.47756,1.58421,0.96521,1.28237,0.0012179,0.0012179,0.0012179
81,521.517,0.96344,0.59137,1.01194,0.82963,0.82812,0.89342,0.44903,1.63866,0.93744,1.33094,0.001208,0.001208,0.001208
82,527.132,0.94424,0.60121,1.00052,0.80008,0.875,0.88381,0.43848,1.64716,0.86876,1.37583,0.0011981,0.0011981,0.0011981
83,535.124,0.93825,0.60955,0.99781,0.78894,0.89062,0.87743,0.44257,1.61863,0.89778,1.38116,0.0011882,0.0011882,0.0011882
84,540.554,0.90329,0.57664,0.98036,0.87772,0.78125,0.86337,0.45262,1.61467,0.90378,1.36378,0.0011783,0.0011783,0.0011783
85,545.956,0.97448,0.62735,1.01886,0.8432,0.8125,0.86372,0.4615,1.57104,0.90409,1.32246,0.0011684,0.0011684,0.0011684
86,554.37,0.94894,0.60021,1.00898,0.84118,0.82759,0.86351,0.45457,1.63849,0.84948,1.38286,0.0011585,0.0011585,0.0011585
87,559.422,0.90704,0.56175,0.98375,0.82239,0.85938,0.87616,0.45024,1.61634,0.87778,1.37865,0.0011486,0.0011486,0.0011486
88,564.585,0.9089,0.59495,0.99613,0.85217,0.85938,0.86824,0.43457,1.65203,0.93051,1.39821,0.0011387,0.0011387,0.0011387
89,573.086,0.915,0.60095,0.99309,0.90739,0.76548,0.81577,0.42528,1.71683,0.98175,1.44968,0.0011288,0.0011288,0.0011288
90,578.544,0.96912,0.62964,1.00657,0.83971,0.6875,0.77194,0.40999,1.71218,1.08965,1.40676,0.0011189,0.0011189,0.0011189
91,583.694,0.93741,0.57958,0.99316,0.89224,0.78125,0.84233,0.44287,1.68929,1.01168,1.42021,0.001109,0.001109,0.001109
92,592.067,0.91907,0.56863,1.01382,0.83942,0.82812,0.82744,0.46116,1.61292,0.88272,1.38441,0.0010991,0.0010991,0.0010991
93,597.511,0.98846,0.58956,1.0138,0.84194,0.84375,0.88392,0.45321,1.61974,0.89323,1.35673,0.0010892,0.0010892,0.0010892
94,603.164,0.93157,0.57672,0.98622,0.84524,0.90625,0.88686,0.44419,1.60543,0.84035,1.35562,0.0010793,0.0010793,0.0010793
95,611.283,0.87668,0.58798,0.97565,0.91467,0.8125,0.90145,0.46874,1.5796,0.83865,1.33656,0.0010694,0.0010694,0.0010694
96,616.349,0.93673,0.58294,0.97233,0.85872,0.78125,0.85204,0.45014,1.52934,0.91179,1.30071,0.0010595,0.0010595,0.0010595
97,621.618,0.85614,0.55365,0.95317,0.90246,0.78125,0.88788,0.46494,1.58591,0.84131,1.33099,0.0010496,0.0010496,0.0010496
98,629.836,0.89218,0.5734,0.96657,0.91371,0.82728,0.88937,0.4682,1.63309,0.85148,1.42758,0.0010397,0.0010397,0.0010397
99,634.97,0.83776,0.54992,0.96273,0.96755,0.78125,0.89975,0.48703,1.59816,0.7901,1.43203,0.0010298,0.0010298,0.0010298
100,640.778,0.87449,0.55943,0.97636,0.84603,0.875,0.91329,0.45976,1.66191,0.79173,1.48319,0.0010199,0.0010199,0.0010199
101,648.94,0.87251,0.55542,0.96625,0.85205,0.84375,0.90655,0.45652,1.68744,0.8382,1.48834,0.00101,0.00101,0.00101
102,654.019,0.84757,0.53254,0.95452,0.96078,0.76555,0.8656,0.47062,1.6583,0.91016,1.46576,0.0010001,0.0010001,0.0010001
103,659.455,0.83582,0.53734,0.96072,0.89367,0.79688,0.86323,0.45685,1.67237,0.93248,1.46543,0.0009902,0.0009902,0.0009902
104,667.982,0.90003,0.53124,0.96447,0.91555,0.78125,0.83768,0.42683,1.68861,0.95825,1.48254,0.0009803,0.0009803,0.0009803
105,673.033,0.80035,0.50775,0.94637,0.87861,0.79167,0.81072,0.41339,1.65067,1.03452,1.44601,0.0009704,0.0009704,0.0009704
106,678.285,0.87922,0.5425,0.99024,0.813,0.81523,0.86193,0.44252,1.66604,0.94361,1.48653,0.0009605,0.0009605,0.0009605
107,686.838,0.85604,0.5258,0.95649,0.8906,0.75,0.86167,0.42422,1.65198,0.88558,1.4745,0.0009506,0.0009506,0.0009506
108,692.199,0.80909,0.52546,0.95222,0.85151,0.82812,0.87436,0.43075,1.66665,0.94147,1.44937,0.0009407,0.0009407,0.0009407
109,697.292,0.816,0.52696,0.96762,0.87082,0.84266,0.89565,0.42407,1.67008,0.94659,1.46009,0.0009308,0.0009308,0.0009308
110,705.885,0.79891,0.50053,0.94899,0.90691,0.8125,0.91009,0.44398,1.62762,0.88496,1.43782,0.0009209,0.0009209,0.0009209
111,711.244,0.79221,0.50106,0.95895,0.83599,0.85938,0.89907,0.44526,1.63304,0.90359,1.45729,0.000911,0.000911,0.000911
112,716.273,0.82872,0.52645,0.95921,0.86669,0.875,0.89503,0.45006,1.61286,0.89659,1.46146,0.0009011,0.0009011,0.0009011
113,724.247,0.84165,0.53595,0.96776,0.90958,0.84375,0.90014,0.44907,1.6271,0.89433,1.46505,0.0008912,0.0008912,0.0008912
114,729.616,0.81204,0.50363,0.93599,0.89078,0.84375,0.88784,0.45643,1.56652,0.90349,1.4037,0.0008813,0.0008813,0.0008813
115,734.889,0.79409,0.4923,0.9452,0.91598,0.78125,0.85027,0.47208,1.57663,0.89961,1.37295,0.0008714,0.0008714,0.0008714
116,743.205,0.85337,0.54045,0.95132,0.8663,0.80995,0.8617,0.45367,1.6137,0.84429,1.41133,0.0008615,0.0008615,0.0008615
117,748.632,0.75498,0.49736,0.92872,0.83071,0.85938,0.85887,0.43488,1.63342,0.88506,1.41606,0.0008516,0.0008516,0.0008516
118,754.028,0.78112,0.50794,0.9478,0.82528,0.875,0.85554,0.4611,1.52856,0.87428,1.35833,0.0008417,0.0008417,0.0008417
119,762.419,0.79449,0.49222,0.93984,0.83074,0.85938,0.8769,0.48218,1.57344,0.86984,1.42423,0.0008318,0.0008318,0.0008318
120,767.567,0.77908,0.48963,0.93372,0.92536,0.77493,0.86186,0.48162,1.52385,0.9183,1.40546,0.0008219,0.0008219,0.0008219
121,773.009,0.73614,0.46127,0.94431,0.9056,0.74949,0.8265,0.45952,1.54029,1.0557,1.40391,0.000812,0.000812,0.000812
122,780.854,0.75695,0.49998,0.95408,0.92277,0.74679,0.85552,0.43358,1.64664,1.04177,1.44069,0.0008021,0.0008021,0.0008021
123,786.064,0.80674,0.50724,0.96879,0.92813,0.80715,0.89131,0.44168,1.6987,0.9901,1.4795,0.0007922,0.0007922,0.0007922
124,791.394,0.78708,0.49762,0.91442,0.9439,0.78875,0.87329,0.45726,1.63358,0.98753,1.44398,0.0007823,0.0007823,0.0007823
125,799.525,0.73631,0.47717,0.91726,0.87865,0.79198,0.83538,0.43592,1.6086,1.02179,1.42271,0.0007724,0.0007724,0.0007724
126,804.643,0.71265,0.46424,0.90264,0.87636,0.8125,0.85758,0.44624,1.64023,0.9769,1.47942,0.0007625,0.0007625,0.0007625
127,810.438,0.77018,0.48166,0.93368,0.91067,0.79649,0.85883,0.44436,1.66614,0.9455,1.49588,0.0007526,0.0007526,0.0007526
128,818.955,0.76953,0.48141,0.9362,0.88773,0.78125,0.84113,0.41648,1.66169,0.95945,1.46995,0.0007427,0.0007427,0.0007427
129,824.162,0.75193,0.485,0.91146,0.86664,0.81233,0.8518,0.43031,1.62805,0.92107,1.47217,0.0007328,0.0007328,0.0007328
130,829.687,0.67626,0.44952,0.90431,0.89524,0.80121,0.88584,0.45347,1.5793,0.83508,1.44746,0.0007229,0.0007229,0.0007229
131,838.155,0.73117,0.46061,0.93301,0.89948,0.83895,0.89432,0.46954,1.59327,0.82042,1.41649,0.000713,0.000713,0.000713
132,843.404,0.72921,0.45045,0.92052,0.90864,0.77708,0.87529,0.45738,1.61519,0.89658,1.40907,0.0007031,0.0007031,0.0007031
133,848.725,0.72681,0.45805,0.92118,0.8465,0.78125,0.85487,0.42696,1.62528,0.96455,1.40906,0.0006932,0.0006932,0.0006932
134,857.332,0.68633,0.45006,0.91594,0.88254,0.82188,0.84608,0.43981,1.61023,0.94307,1.37718,0.0006833,0.0006833,0.0006833
135,862.566,0.7308,0.48077,0.93321,0.84196,0.83244,0.87356,0.44582,1.64212,0.91794,1.3986,0.0006734,0.0006734,0.0006734
136,867.865,0.70118,0.45198,0.91649,0.90968,0.78689,0.86134,0.46554,1.58038,0.8884,1.38109,0.0006635,0.0006635,0.0006635
137,876.661,0.69098,0.46267,0.91389,0.92701,0.79381,0.87897,0.46537,1.55629,0.89255,1.38182,0.0006536,0.0006536,0.0006536
138,881.965,0.70197,0.47095,0.91065,0.909,0.78041,0.85464,0.47193,1.58499,0.88345,1.40953,0.0006437,0.0006437,0.0006437
139,887.269,0.69364,0.44445,0.92693,0.85879,0.78125,0.87066,0.46712,1.59015,0.91381,1.41897,0.0006338,0.0006338,0.0006338
140,895.44,0.70934,0.45767,0.92371,0.84049,0.8125,0.85699,0.44583,1.62363,0.89054,1.43203,0.0006239,0.0006239,0.0006239
141,900.929,0.68005,0.43567,0.91072,0.83889,0.8125,0.83627,0.44221,1.59884,0.89772,1.44145,0.000614,0.000614,0.000614
142,906.62,0.7951,0.48814,0.93535,0.84597,0.8125,0.85466,0.43949,1.58846,0.87751,1.41804,0.0006041,0.0006041,0.0006041
143,914.932,0.65555,0.42659,0.8986,0.92429,0.76301,0.8666,0.45741,1.58694,0.8863,1.39378,0.0005942,0.0005942,0.0005942
144,920.039,0.69426,0.46316,0.91927,0.89955,0.78125,0.86861,0.46148,1.55966,0.90164,1.39582,0.0005843,0.0005843,0.0005843
145,925.621,0.71092,0.45511,0.91928,0.86568,0.78125,0.86207,0.48006,1.52606,0.87157,1.36356,0.0005744,0.0005744,0.0005744
146,933.88,0.72841,0.44641,0.95658,0.89581,0.80616,0.86347,0.45792,1.55498,0.88462,1.3785,0.0005645,0.0005645,0.0005645
147,939.048,0.68476,0.45213,0.90279,0.9134,0.82411,0.88026,0.47461,1.55883,0.84941,1.38511,0.0005546,0.0005546,0.0005546
148,945.016,0.69484,0.44311,0.90469,0.86732,0.85938,0.88948,0.49092,1.5543,0.83424,1.37452,0.0005447,0.0005447,0.0005447
149,953.353,0.67555,0.42198,0.90817,0.91543,0.85938,0.89644,0.48659,1.56073,0.83019,1.36088,0.0005348,0.0005348,0.0005348
150,958.288,0.6372,0.43723,0.9028,0.92566,0.82812,0.90937,0.48997,1.55547,0.84891,1.35696,0.0005249,0.0005249,0.0005249
